"DJ Bravo","run out",1
"H Das","run out",1
"M Markande","caught",1
"A Chopra","lbw",1
"ST Jayasuriya","caught",19
"SB Joshi","run out",1
"R Dhawan","caught",2
"RR Pant","run out",5
"V Sehwag","caught and bowled",2
"Harbhajan Singh","lbw",6
"VVS Laxman","caught and bowled",2
"R Dravid","stumped",1
"CV Varun","run out",1
"SP Goswami","caught",15
"SW Billings","lbw",1
"NV Ojha","stumped",3
"RP Singh","bowled",4
"Pankaj Singh","caught",1
"CK Langeveldt","bowled",2
"MJ Guptill","lbw",2
"R Rampaul","caught",4
"DA Warner","run out",10
"Salman Butt","bowled",1
"M Rawat","bowled",1
"Kamran Akmal","caught",3
"Sohail Tanvir","caught",2
"CH Gayle","stumped",3
"KM Jadhav","bowled",5
"AD Russell","run out",3
"DJG Sammy","lbw",2
"KD Karthik","lbw",14
"JR Philippe","caught",2
"A Symonds","stumped",2
"MC Juneja","caught",5
"M Ntini","bowled",1
"YK Pathan","obstructing the field",1
"MS Wade","bowled",2
"D Wiese","run out",1
"C Munro","bowled",2
"MP Stoinis","run out",3
"AR Patel","stumped",2
"MK Pandey","run out",5
"UT Khawaja","stumped",1
"PK Garg","bowled",3
"KM Jadhav","stumped",1
"S Dhawan","retired hurt",1
"J Botha","lbw",3
"AD Russell","bowled",10
"M Vijay","caught",52
"MC Henriques","caught",20
"MJ Clarke","run out",1
"R Tewatia","run out",1
"CJ Ferguson","caught",1
"MV Boucher","bowled",3
"G Gambhir","lbw",7
"Shivam Mavi","caught",3
"B Kumar","caught and bowled",1
"S Randiv","caught",1
"SP Fleming","lbw",1
"AD Nath","caught",8
"DA Miller","caught",34
"DNT Zoysa","bowled",1
"PC Valthaty","caught",18
"R Ashwin","caught",24
"M Kaif","bowled",3
"KC Sangakkara","stumped",3
"R Sharma","caught",6
"JH Kallis","run out",9
"KK Nair","lbw",7
"JP Faulkner","run out",2
"BJ Hodge","lbw",6
"Kuldeep Yadav","bowled",1
"CR Brathwaite","lbw",1
"Kuldeep Yadav","caught",1
"MA Khote","hit wicket",1
"MM Sharma","caught",9
"TA Boult","caught and bowled",1
"SB Bangar","run out",1
"CM Gautam","caught",7
"S Rana","bowled",3
"DS Kulkarni","caught and bowled",1
"MK Pandey","bowled",25
"D Salunkhe","caught and bowled",1
"Mohammad Ashraful","caught",1
"RD Gaikwad","bowled",1
"Azhar Mahmood","run out",3
"TL Suman","lbw",2
"AB Barath","lbw",1
"DA Miller","run out",2
"RR Sarwan","bowled",1
"N Saini","run out",1
"CH Gayle","lbw",8
"SS Iyer","bowled",9
"Y Nagar","caught",8
"Misbah-ul-Haq","hit wicket",1
"MA Starc","caught",4
"SK Raina","caught",110
"D Padikkal","caught",9
"AD Russell","caught",35
"Anureet Singh","caught",3
"VY Mahesh","bowled",1
"RG Sharma","caught and bowled",7
"JD Ryder","caught and bowled",1
"R Sathish","bowled",3
"Anureet Singh","bowled",1
"RG Sharma","caught",112
"MK Pandey","caught",67
"FY Fazal","run out",3
"Basil Thampi","bowled",1
"C Munro","caught",5
"S Aravind","bowled",1
"AD Nath","lbw",1
"SPD Smith","bowled",15
"P Dogra","bowled",2
"DB Ravi Teja","run out",2
"Gurkeerat Singh","caught",12
"UA Birla","bowled",1
"RR Sarwan","caught",2
"RD Chahar","caught",2
"JH Kallis","lbw",3
"SS Iyer","caught",48
"RR Raje","bowled",1
"Shubman Gill","bowled",2
"DH Yagnik","bowled",4
"JH Kallis","caught",60
"AB Dinda","lbw",1
"CJ Anderson","caught",11
"SE Marsh","bowled",16
"Salman Butt","caught",4
"Iqbal Abdulla","caught",1
"M Kaif","lbw",1
"Mandeep Singh","run out",7
"S Gopal","stumped",1
"CH Morris","caught",11
"JA Morkel","bowled",10
"Y Gnaneswara Rao","caught and bowled",1
"KV Sharma","bowled",2
"SE Marsh","caught",35
"AR Patel","lbw",2
"Rashid Khan","run out",1
"MS Bisla","stumped",4
"BB McCullum","caught",62
"SM Curran","bowled",2
"GJ Maxwell","run out",4
"BB McCullum","lbw",16
"KP Pietersen","lbw",2
"N Saini","lbw",2
"M Ashwin","caught",2
"MS Dhoni","bowled",16
"LRPL Taylor","stumped",1
"S Kaul","caught",1
"MM Patel","lbw",1
"RR Rossouw","run out",1
"SP Goswami","bowled",2
"VR Aaron","run out",1
"SB Wagh","caught",1
"E Lewis","caught",11
"J Arunkumar","run out",1
"K Gowtham","caught",12
"CA Ingram","run out",1
"JC Archer","caught and bowled",1
"AS Raut","caught",3
"S Kaul","run out",1
"SR Tendulkar","caught",36
"KV Sharma","caught",15
"WD Parnell","run out",3
"CL White","caught and bowled",3
"PP Shaw","caught and bowled",3
"UT Khawaja","run out",1
"AS Raut","bowled",2
"JA Morkel","caught",25
"Parvez Rasool","caught",1
"A Choudhary","caught",1
"SS Iyer","stumped",2
"TL Suman","caught",22
"NLTC Perera","caught",17
"TM Dilshan","lbw",3
"FY Fazal","lbw",2
"M Markande","bowled",1
"SP Fleming","run out",1
"AD Mathews","stumped",1
"P Dogra","caught",4
"SO Hetmyer","bowled",2
"CH Gayle","bowled",24
"AJ Finch","lbw",7
"RT Ponting","caught and bowled",1
"BB Samantray","lbw",1
"RJ Peterson","caught",1
"RJ Peterson","run out",2
"HH Pandya","hit wicket",1
"DR Smith","caught and bowled",1
"V Pratap Singh","caught",1
